654	654	640	620	78
655	657	642	623	6450
656	658	642	624	6456
655	656	641	622	6515
657	658	643	625	6522
656	657	643	624	6575
655	656	642	623	6581
654	656	640	621	6634
655	655	641	622	6639
655	656	641	622	6641
655	656	641	623	6695
654	655	640	621	6702
655	656	641	622	6762
656	657	642	623	6822
656	657	642	623	6826
656	657	642	624	6830
656	657	641	623	6890
655	656	642	624	6953
655	656	641	622	7008
655	656	641	623	7073
655	656	641	623	7076
655	656	641	622	7141
655	656	641	623	7204
655	657	642	623	7265
655	656	641	622	7325
656	657	642	623	7327
656	658	642	624	7385
655	657	642	623	7393
655	656	641	622	7450
655	656	641	622	7457
656	657	642	623	7513
656	657	642	624	7565
656	656	641	623	7621
655	656	642	623	7631
656	656	642	623	7676
655	656	641	622	7744
657	658	642	624	7753
656	657	642	623	7807
656	657	642	624	7812
655	656	641	622	7879
656	657	642	623	7973
654	656	640	622	8027
655	656	641	622	8112
655	657	641	623	8167
655	656	641	623	8232
655	656	641	622	8241
656	657	642	623	8296
656	656	642	623	8302
655	657	641	623	8305
654	656	641	622	8365
655	656	641	623	8425
656	657	642	624	8483
655	656	641	622	8549
656	657	642	623	8607
655	657	642	623	8614
657	659	643	625	8668
656	657	642	623	8732
656	657	642	623	8734
654	656	641	622	8795
656	656	641	622	8799
655	656	641	622	8804
655	657	641	623	8862
655	656	641	622	8925
656	657	642	624	8990
655	656	641	622	9050
656	657	643	623	9052
655	657	642	623	9107
656	657	641	623	9170
655	657	642	623	9175
656	658	642	623	9232
656	657	642	623	9238
655	656	641	622	9287
656	657	643	624	9348
655	656	641	623	9415
656	657	642	622	9476
655	657	642	623	9539
656	657	642	623	9597
655	656	642	622	9602
655	656	641	622	9673
656	658	643	624	9677
655	657	641	623	9736
656	656	641	623	9798
656	657	642	624	9858
655	656	642	623	9922
656	657	642	623	9977
655	656	641	622	10038
656	657	642	624	10102
655	656	641	623	10111
655	657	641	623	10164
655	656	641	622	10227
655	656	642	623	10286
657	658	643	625	10289
655	656	642	623	10346
656	657	642	624	10350
656	658	643	624	10409
656	656	642	624	10465
654	656	641	622	10468
656	657	642	623	10471
656	657	641	623	10529
656	657	642	624	10538
656	657	642	623	10596
656	656	642	624	10599
655	656	641	623	10646
655	656	641	622	10650
655	656	641	623	10710
655	656	642	623	10773
655	656	641	622	10838
656	657	642	623	10924
656	657	641	624	10966
655	657	642	623	11026
656	657	642	624	11079
655	657	641	623	11085
655	657	641	623	11141
656	656	642	624	11201
657	658	643	624	11264
655	656	641	622	11318
656	657	641	623	11379
656	657	643	624	11381
656	657	642	624	11431
655	657	642	623	11486
655	656	642	623	11541
656	656	642	623	11593
656	657	642	624	11639
654	656	641	622	11697
655	657	641	623	11705
657	657	643	624	11759
655	655	641	622	11767
656	657	643	624	11819
656	656	642	623	11881
655	656	641	622	11932
655	656	641	622	11935
654	655	640	621	11983
655	656	641	623	12046
655	656	641	623	12113
655	656	642	623	12123
656	657	642	623	12178
654	656	641	622	12184
654	656	641	622	12243
656	658	642	624	12249
656	658	642	624	12307
655	656	641	622	12368
655	657	641	623	12428
655	657	641	623	12488
655	657	642	623	12543
656	657	642	623	12551
656	657	642	623	12602
656	657	642	623	12654
657	658	643	625	12710
655	657	641	623	12762
656	657	642	624	12770
655	656	641	622	12828
656	657	642	624	12886
656	657	642	623	12948
656	657	642	624	13012
655	656	641	622	13068
656	658	642	623	13134
655	656	641	622	13138
655	656	642	623	13141
656	658	642	623	13196
655	656	641	622	13260
656	657	642	624	13321
655	656	641	623	13381
655	656	641	622	13387
655	656	641	623	13445
655	656	641	623	13507
656	657	642	623	13515
655	656	641	622	13569
656	657	642	624	13624
655	656	641	623	13688
655	657	641	623	13741
656	657	642	623	13798
655	657	641	622	13850
655	656	642	623	13858
655	657	641	623	13913
656	658	643	624	13976
656	657	642	623	14042
656	658	642	624	14097
655	657	641	623	14101
656	658	642	624	14161
655	657	641	623	14170
656	657	642	623	14225
656	656	641	622	14288
655	656	642	623	14344
656	657	642	623	14409
654	656	641	622	14463
656	657	642	623	14519
656	657	642	622	14585
656	658	642	623	14643
656	657	642	624	14694
656	657	642	624	14696
656	657	642	622	14746
656	657	642	622	14814
654	655	640	621	14822
656	657	642	622	14877
655	656	641	622	14936
657	657	642	623	14999
656	657	642	623	15005
656	657	642	623	15061
655	657	642	623	15069
656	657	642	623	15122
655	657	642	623	15183
656	657	642	623	15192
655	657	641	623	15246
656	658	642	623	15308
656	657	642	624	15316
656	658	642	624	15384
656	657	642	624	15386
656	656	642	623	15439
655	656	641	622	15489
657	658	643	625	15494
657	658	643	625	15548
656	657	642	623	15596
656	657	642	624	15660
656	658	643	624	15664
656	657	642	623	15725
656	657	642	623	15792
656	657	642	623	15844
655	657	642	623	15905
655	657	642	624	15964
657	658	644	624	16027
656	657	642	623	16034
656	656	642	623	16095
655	657	641	623	16164
656	657	641	623	16166
656	657	641	622	16226
655	657	642	623	16283
654	655	641	621	16348
656	658	642	624	16466
656	657	643	624	16527
655	657	642	623	16589
655	656	641	623	16591
655	656	642	623	16642
656	658	642	624	16645
656	657	642	624	16706
656	658	643	624	16711
656	657	642	623	16770
656	656	642	623	16834
655	657	642	623	16884
655	657	642	623	16934
656	657	642	623	16938
655	657	642	623	16940
655	657	642	623	16988
655	657	642	623	17052
655	656	641	623	17120
656	657	642	623	17174
655	657	642	624	17181
655	657	642	623	17234
656	656	642	624	17288
655	657	641	622	17345
656	657	642	623	17406
657	658	642	624	17470
656	657	643	624	17472
655	656	641	622	17476
655	657	642	623	17538
656	657	642	623	17542
655	656	641	622	17601
655	656	641	622	17652
656	657	642	624	17717
654	656	641	622	17783
654	655	641	621	17787
655	657	642	623	17843
656	658	643	624	17907
654	655	640	621	17971
655	656	641	622	18032
656	657	643	624	18089
655	656	641	622	18143
656	657	642	623	18194
656	657	642	624	18258
655	656	641	623	18320
656	657	642	623	18324
655	657	642	623	18330
654	655	641	621	18386
654	655	641	622	18391
655	657	641	622	18452
655	657	642	623	18509
655	656	641	622	18559
655	656	642	623	18565
655	656	642	623	18624
656	658	642	624	18680
655	656	642	623	18734
655	656	641	622	18798
655	656	641	623	18852
656	657	642	623	18907
655	657	641	623	18968
656	658	643	623	18978
656	657	642	623	19033
655	656	642	623	19097
655	657	642	623	19159
656	656	642	623	19165
655	656	641	622	19221
655	656	641	622	19286
655	657	642	623	19293
655	657	642	623	19350
655	656	641	622	19398
656	657	643	624	19457
654	655	640	621	19464
656	658	642	623	19518
657	658	642	624	19521
657	658	642	624	19580
656	657	642	622	19643
655	656	641	623	19705
655	656	642	622	19713
656	657	641	623	19768
655	657	642	623	19824
656	657	642	623	19890
655	657	641	623	19893
656	657	642	623	19945
655	656	641	622	19952
655	656	641	623	20011
656	657	641	623	20075
655	656	641	623	20080
656	657	642	623	20082
656	657	641	623	20084
657	658	643	625	20140
657	659	643	625	20201
655	656	641	622	20205
657	658	643	624	20210
655	656	641	623	20267
656	657	642	623	20276
656	657	642	624	20328
656	657	642	623	20392
655	657	641	623	20449
656	657	642	623	20458
655	657	641	623	20514
655	656	641	622	20524
655	656	641	622	20574
654	656	641	622	20576
656	657	642	624	20627
654	655	640	622	20689
656	656	641	622	20747
657	658	643	624	20802
655	657	641	623	20856
655	656	641	623	20861
655	657	642	623	20920
656	656	642	624	20981
655	656	642	623	21030
656	658	643	624	21094
655	656	641	622	21102
656	658	642	623	21146
657	658	643	624	21154
656	657	643	624	21211
655	655	641	622	21263
655	657	641	623	21326
656	657	642	623	21392
655	657	642	623	21457
656	657	643	624	21525
655	657	642	623	21587
656	657	642	623	21652
655	656	642	622	21708
655	657	642	623	21716
656	657	642	624	21773
655	657	642	623	21831
656	657	642	623	21892
655	657	641	623	21945
654	656	640	622	22001
656	656	642	622	22006
656	657	641	623	22007
656	657	642	623	22053
656	657	642	624	22111
656	657	642	623	22119
656	657	642	623	22173
655	657	642	623	22223
656	656	642	623	22229
656	657	642	623	22290
656	657	642	623	22360
656	657	642	624	22418
656	657	642	624	22476
655	656	641	621	22538
655	655	641	622	22544
654	657	641	622	22605
655	657	642	623	22610
655	658	642	624	22671
655	656	641	622	22719
655	657	642	624	22784
656	657	642	623	22786
655	657	642	623	22849
656	657	642	623	22854
654	656	641	622	22856
657	658	642	624	22912
656	657	642	624	22918
656	657	642	623	22976
