File	rit05	rit1	rit2	rit4	rit8	rit16	rit32
rit130.txt	0	0.1	0	0.1	0.1	0	0
rit160.txt	0	0	0	0	0	0.2	0
rit200.txt	0	0	0	0.1	0	0.2	0
rit240.txt	0	0	0	0	0.1	0.2	0
rit250.txt	0	0.1	0	0	0.1	0.2	0
rit260.txt	0	0	0.1	0	0.1	0.2	0
rit270.txt	0	0.1	0.1	0	0.1	0.2	0
rit280.txt	0	0	0	0.1	0.1	0.2	0
rit290.txt	0	0.1	0	0.1	0.1	0.2	0
rit300.txt	0	0	0.1	0.1	0.1	0.2	0
rit310.txt	0	0.1	0.1	0.1	0.1	0.2	0
rit320.txt	0	0	0	0	0	0	0.2
rit330.txt	0	0.1	0	0	0	0	0.2
rit340.txt	0	0	0.1	0	0	0	0.2
rit350.txt	0	0.1	0.1	0	0	0	0.2
rit360.txt	0	0	0	0.1	0	0	0.2
rit370.txt	0	0.1	0	0.1	0	0	0.2
rit380.txt	0	0	0.1	0.1	0	0	0.2
rit390.txt	0	0.1	0.1	0.1	0	0	0.2
rit400.txt	0	0	0	0	0.1	0	0.2
rit405.txt	0.1	0	0	0	0.1	0	0.2
rit410.txt	0	0.1	0	0	0.1	0	0.2
rit415.txt	0.1	0.1	0	0	0.1	0	0.2
rit420.txt	0	0	0.1	0	0.1	0	0.2
rit425.txt	0.1	0	0.1	0	0.1	0	0.2
rit430.txt	0	0.1	0.1	0	0.1	0	0.2
rit435.txt	0.1	0.1	0.1	0	0.1	0	0.2
rit440.txt	0	0	0	0.1	0.1	0	0.2
rit445.txt	0.1	0	0	0.1	0.1	0	0.2
rit450.txt	0	0.1	0	0.1	0.1	0	0.2
rit455.txt	0.1	0.1	0	0.1	0.1	0	0.2
rit460.txt	0	0	0.1	0.1	0.1	0	0.2
rit465.txt	0.1	0	0.1	0.1	0.1	0	0.2
rit470.txt	0	0.1	0.1	0.1	0.1	0	0.2
rit475.txt	0.1	0.1	0.1	0.1	0.1	0	0.2
rit480.txt	0	0	0	0	0	0.2	0.2
rit490.txt	0	0.1	0	0	0	0.2	0.2
rit500.txt	0	0	0.1	0	0	0.2	0.2
rit510.txt	0	0.1	0.1	0	0	0.2	0.2
rit520.txt	0	0	0	0.1	0	0.2	0.2
rit530.txt	0	0.1	0	0.1	0	0.2	0.2
rit540.txt	0	0	0.1	0.1	0	0.2	0.2
rit550.txt	0	0.1	0.1	0.1	0	0.2	0.2
rit560.txt	0	0	0	0	0.1	0.2	0.2
rit570.txt	0	0.1	0	0	0.1	0.2	0.2
rit580.txt	0	0	0.1	0	0.1	0.2	0.2
rit590.txt	0	0.1	0.1	0	0.1	0.2	0.2
rit600.txt	0	0	0	0.1	0.1	0.2	0.2
rit610.txt	0	0.1	0	0.1	0.1	0.2	0.2
rit620.txt	0	0	0.1	0.1	0.1	0.2	0.2
rit630.txt	0	0.1	0.1	0.1	0.1	0.2	0.2
